"brand","model","fuel_type","drop_percent"
audi,s5 3.0t prestige,gasoline,41.22548581971848
audi,s5 3.0t prestige,gasoline,40.48894443948457
audi,s5 3.0t premium plus,gasoline,46.989250824974675
audi,s5 3.0t prestige,gasoline,49.558075171859656
audi,s5 prestige,gasoline,48.80268406122655
audi,s5 3.0t premium plus,gasoline,42.90031692096579
audi,s5 3.0t prestige,gasoline,41.252269142636074
audi,s5 3.0t premium plus,gasoline,41.222596138138336
audi,s5 3.0t prestige,gasoline,30.073207749308096
audi,s5 3.0t prestige,gasoline,37.655864059756574
audi,s5 3.0t premium plus,gasoline,52.633384519881076
audi,s5 3.0t prestige,gasoline,41.976906823795495
audi,s5 3.0t prestige,gasoline,47.92280451150195
audi,s5 3.0t prestige,gasoline,49.424158557271674
audi,s5 3.0t premium plus,gasoline,29.75789851994642
audi,s5 3.0t premium plus,gasoline,36.32992452706897
audi,s5 3.0t prestige,gasoline,34.53114305270363
audi,s5 3.0t premium plus,gasoline,47.73254484268305
audi,s5 3.0t prestige,gasoline,42.00369014671309
audi,s5 3.0t prestige,gasoline,30.824628753385113
audi,s5 3.0t premium plus,gasoline,37.93086548828699
audi,s5 3.0t prestige,gasoline,41.98434663571705
audi,s5 3.0t premium plus,gasoline,41.66040448263469
audi,s5 3.0t premium plus,gasoline,44.473486457346354
audi,s5 3.0t premium plus,gasoline,35.56375992420035
audi,s5 3.0t premium plus,gasoline,23.573038847322508
audi,s5 3.0t prestige,gasoline,46.440793976728266
audi,s5 3.0t premium plus,gasoline,37.43261345443853
audi,s5 3.0t prestige,gasoline,40.79992857780555
audi,s5 3.0t prestige,gasoline,40.48894443948457
audi,s5 3.0t prestige,gasoline,44.05559027467786
audi,s5 3.0t premium plus,gasoline,54.25882967948509
audi,s5 3.0t prestige,gasoline,40.85349522364075
audi,s5 3.0t prestige,gasoline,27.5808707555873
audi,s5 3.0t premium plus,gasoline,44.484921749926485
audi,s5 3.0t prestige,gasoline,37.52789929470583
audi,s5 3.0t prestige,gasoline,52.40752313781507
audi,s5 prestige,gasoline,42.4438780652872
audi,s5 3.0t prestige,gasoline,39.23161622474184
audi,s5 3.0t premium plus,gasoline,23.223445617015713
audi,s5 3.0t prestige,gasoline,41.98732256048567
audi,s5 3.0t prestige,gasoline,39.60658274558819
audi,s5 3.0t premium plus,gasoline,47.879570032998984
audi,s5 3.0t prestige,gasoline,45.63431836443175
audi,s5 3.0t prestige,gasoline,49.41671874535012
audi,s5 3.0t premium plus,gasoline,39.8912013591662
audi,s5 3.0t prestige,gasoline,41.972442936642565
audi,s5 3.0t premium plus,gasoline,35.48861371581664
audi,s5 3.0t prestige,gasoline,39.47564205576883
audi,s5 3.0t premium plus,gasoline,44.473486457346354
audi,s5 3.0t prestige,gasoline,39.07389221200488
audi,s5 3.0t prestige,gasoline,40.48448055233164
audi,s5 3.0t prestige,gasoline,39.00990982947951
audi,s5 3.0t premium plus,gasoline,23.393341392491916
audi,s5 3.0t premium plus,gasoline,45.27395693795537
audi,s5 3.0t prestige,gasoline,35.72151296015237
audi,s5 3.0t prestige,gasoline,43.48570068148677
audi,s5 3.0t prestige,gasoline,41.976906823795495
audi,s5 3.0t premium plus,gasoline,37.924331035384064
audi,s5 3.0t premium plus,gasoline,42.83333877871075
audi,s5 3.0t prestige,gasoline,39.15721810552629
audi,s5 3.0t prestige,gasoline,54.617147278516796
audi,s4 3.0t prestige,gasoline,44.656482392605376
audi,s4 3.0t premium plus,gasoline,45.102678490797764
audi,s4 3.0t premium plus,gasoline,29.56454205573717
audi,s4 3.0t premium plus,gasoline,33.17499593620749
audi,s4 3.0t prestige,gasoline,38.3797648045684
audi,s4 3.0t premium plus,gasoline,38.73787635233984
audi,s4 3.0t premium plus,gasoline,34.9829320714505
audi,s4 3.0t premium plus,gasoline,30.194881427565157
audi,s4 3.0t premium plus,gasoline,31.370672060974947
audi,s4 3.0t prestige,gasoline,51.61394395960704
audi,s4 3.0t premium plus,gasoline,44.019000487655106
audi,s4 3.0t premium plus,gasoline,36.906460527028734
audi,s4 3.0t premium plus,gasoline,34.98835046146622
audi,s4 3.0t prestige,gasoline,44.02574567275895
audi,s4 3.0t premium plus,gasoline,33.18222045622844
audi,s4 3.0t premium plus,gasoline,42.22190113244351
audi,s4 3.0t prestige,gasoline,54.8402187414302
audi,s4 3.0t premium plus,gasoline,33.17499593620749
audi,s4 3.0t premium plus,gasoline,35.882384814058916
audi,s4 3.0t prestige,gasoline,33.89846913261603
audi,s4 3.0t premium plus,gasoline,40.41757725721097
audi,s4 3.0t premium plus,gasoline,46.01838640345332
audi,s4 3.0t premium plus,gasoline,47.62764823812018
audi,s4 3.0t prestige,gasoline,34.66793566808085
audi,s4 3.0t prestige,gasoline,56.453356132341796
audi,s4 3.0t premium plus,gasoline,27.75841205049939
audi,s4 3.0t prestige,gasoline,37.08764175444823
audi,s4 3.0t premium plus,gasoline,31.54947893149349
audi,s4 3.0t premium plus,gasoline,33.98775443856449
audi,s4 3.0t premium plus,gasoline,44.9130348402478
audi,s4 3.0t premium plus,gasoline,46.01477414344284
audi,s4 3.0t premium plus,gasoline,45.81790597287193
audi,s4 3.0t premium plus,gasoline,49.51866635360413
audi,s4 3.0t prestige,gasoline,48.540917229920474
audi,s4 3.0t premium plus,gasoline,27.75841205049939
audi,s4 3.0t prestige,gasoline,45.153328709006146
audi,s4 3.0t prestige,gasoline,41.935119614137534
audi,s4 3.0t premium plus,gasoline,38.06780212039663
audi,s4 3.0t premium plus,gasoline,46.90519623602507
audi,s4 3.0t premium plus,gasoline,43.12857839507288
audi,s4 3.0t premium plus,gasoline,40.57832282767714
audi,s4 3.0t premium plus,gasoline,40.39770982715336
audi,s4 3.0t premium plus,gasoline,30.463994798345585
audi,s4 3.0t premium plus,gasoline,34.121408058952085
audi,s4 3.0t prestige,gasoline,53.25611782355503
audi,s4 3.0t prestige,gasoline,43.39500895291252
audi,s4 3.0t premium plus,gasoline,41.39108133003413
audi,s4 3.0t premium plus,gasoline,40.57832282767714
audi,s4 3.0t premium plus,gasoline,35.18160637202666
audi,s4 3.0t prestige,gasoline,56.60660418447839
audi,s4 3.0t premium plus,gasoline,45.861253092997636
audi,s3 2.0t premium plus,gasoline,33.41468416735029
audi,s3 2.0t premium plus,gasoline,23.092698933552093
audi,s3 2.0t premium plus,gasoline,47.40771123872026
audi,s3 2.0t premium plus,gasoline,38.49466776045939
audi,s3 2.0t premium plus,gasoline,30.29532403609516
audi,s3 2.0t premium plus,gasoline,34.57752255947498
audi,s3 2.0t premium plus,gasoline,25.350697292863
audi,s3 2.0t prestige,gasoline,44.49337655016911
audi,s3 2.0t premium plus,gasoline,34.392945036915506
audi,s3 2.0t premium plus,gasoline,28.230106644790816
audi,s3 2.0t premium plus,gasoline,29.056603773584904
audi,s3 2.0t premium plus,gasoline,24.341673502871206
audi,s3 2.0t premium plus,gasoline,38.47826086956522
audi,s3 2.0t premium plus,gasoline,32.3318293683347
audi,s3 2.0t premium plus,gasoline,28.2383100902379
audi,s3 2.0t premium plus,gasoline,36.43355209187859
audi,s3 2.0t premium plus,gasoline,36.63863822805578
audi,s3 2.0t premium plus,gasoline,42.58613617719442
audi,s3 2.0t premium plus,gasoline,34.595980311730926
audi,a3 premium,gasoline,31.476680402805446
audi,a3 premium,gasoline,56.390033567120604
audi,a5 2.0t premium plus,gasoline,34.629883855222154
audi,a5 2.0t premium plus,gasoline,37.050837854917084
audi,a5 2.0t prestige,gasoline,47.882819244957226
audi,a5 2.0t premium,gasoline,41.62407841823057
audi,a5 2.0t premium plus,gasoline,20.43973763918851
audi,a5 2.0t premium,gasoline,35.08084785522788
